Street #,Street,Street Type,Quad,Ward,SSL1,SSL2,SSLFULL,GGStatus
1420,DECATUR ,ST ,NW ,4,2706,8,2706    0008,5
1420,DECATUR ,ST ,NW ,4,2706,8,2706    0008,5
409,DELAFIELD ,PL ,NW ,4,3251,186,3251    0186,5
458,DELAFIELD ,PL ,NW ,4,3251,152,3251    0152,5
816,DELAFIELD ,PL ,NW ,4,3010,193,3010    0193,5
1406,DELAFIELD ,PL ,NW ,4,2709,13,2709    0013,5
8165,EAST BEACH ,DR ,NW ,4,2759,7,2759    0007,5
5614,EASTERN ,AVE ,NE ,4,3744,97,3744    0097,5
5714,EASTERN ,AVE ,NE ,4,3743,50,3743    0050,5
7500,EASTERN ,AVE ,NW ,4,3179,25,3179    0025,5
825,EMERSON ,ST ,NW ,4,3009,66,3009    0066,5
1213,EMERSON ,ST ,NW ,4,2926,8,2926    0008,5
1328,FORT STEVENS ,DR ,NW ,4,PAR 00870165,,PAR 00870165,5
71,GALLATIN ,ST ,NW ,4,3398,48,3398    0048,5
4619,GEORGIA ,AVE ,NW ,4,3015,22,3015    0022,5
5333,GEORGIA ,AVE ,NW ,4,2997,123,2997    0123,5
7331,GEORGIA ,AVE ,NW ,4,2964,40,2964    0040,5
613,HAMILTON ,ST ,NW ,4,3210,111,3210    0111,5
647,HAMILTON ,ST ,NW ,4,3210,128,3210    0128,5
1210,HOLLY ,ST ,NW ,4,2955,33,2955    0033,5
1211,HOLLY ,ST ,NW ,4,2955,815,2955    0815,5
4802,ILLINOIS ,AVE ,NW ,4,3145,38,3145    0038,5
4839,ILLINOIS ,AVE ,NW ,4,3146,58,3146    0058,5
4930,ILLINOIS ,AVE ,NW ,4,3009,83,3009    0083,5
5419,ILLINOIS ,AVE ,NW ,4,2995,66,2995    0066,5
723,INGRAHAM ,ST ,NW ,4,3151,42,3151    0042,5
732,INGRAHAM ,ST ,NW ,4,3150,8,3150    0008,5
815,INGRAHAM ,ST ,NW ,4,2999,23,2999    0023,5
825,INGRAHAM ,ST ,NW ,4,2999,28,2999    0028,5
1353,INGRAHAM ,ST ,NW ,4,2803,95,2803    0095,5
231,JEFFERSON ,ST ,NW ,4,3329,32,3329    0032,5
515,JEFFERSON ,ST ,NW ,4,3208,812,3208    0812,5
524,JEFFERSON ,ST ,NW ,4,3209,102,3209    0102,5
619,JEFFERSON ,ST ,NW ,4,3208,65,3208    0065,5
1220,JEFFERSON ,ST ,NW ,4,2931,70,2931    0070,5
1323,KALMIA ,RD ,NW ,4,2771,4,2771    0004,5
4000,KANSAS ,AVE ,NW ,4,2908,1,2908    0001,5
4904,KANSAS ,AVE ,NW ,4,3213,101,3213    0101,5
105,KENNEDY ,ST ,NW ,4,3390,804,3390    0804,5
